Flight_ID,Departure_Airport,Arrival_Airport,Departure_Time,Flight_Duration_Minutes,Flight_Status,Distance_Miles,Travel_Purpose,Seat_Class,Flight_Satisfaction_Score,Delay_Minutes,No_Show,Weather_Impact
F1817,ATL,LAX,8/6/2023 20:00,146,On-time,1142,Business,Economy,7.5,2,0,0
F689,SEA,SEA,3/11/2024 3:28,252,On-time,1434,Leisure,Economy,7.7,1,0,0
F107,LAX,SEA,11/1/2023 18:48,170,On-time,1597,Leisure,Economy,5.9,5,0,1
F1311,LAX,JFK,6/6/2024 11:05,201,On-time,734,Emergency,Economy,5.6,8,0,0
F596,ORD,ORD,5/4/2023 10:04,208,On-time,754,Family,Economy,6.6,10,0,0
F633,DEN,ORD,10/25/2023 12:58,171,Cancelled,1144,Emergency,Premium Economy,8.1,8,0,0
F1834,SFO,ORD,12/13/2023 6:42,211,Cancelled,1127,Leisure,Business,5,7,0,0
F741,SFO,DFW,1/14/2025 22:13,124,Delayed,1497,Leisure,Economy,6.5,2,0,0
F366,LAX,LAX,7/19/2024 22:41,270,Delayed,1538,Family,Premium Economy,7.5,4,0,0
F521,DFW,SEA,9/21/2024 17:44,224,On-time,966,Emergency,Economy,8.5,9,0,1
F282,JFK,ORD,10/2/2024 23:58,169,Delayed,1395,Business,Premium Economy,3.4,20,0,0
F154,DEN,LAX,7/8/2023 17:03,29,On-time,1013,Leisure,Economy,9.5,6,0,1
F1047,DEN,SFO,7/14/2024 14:59,255,On-time,1494,Emergency,Premium Economy,6.8,27,0,0
F90,ORD,DEN,11/22/2024 0:14,179,On-time,1351,Emergency,Business,8.6,6,0,0
F662,ORD,SFO,8/28/2023 22:01,190,Delayed,1198,Leisure,Premium Economy,7.9,7,0,0
F943,ATL,ATL,4/26/2023 2:26,151,On-time,1629,Family,Premium Economy,4.5,1,0,0
F1311,JFK,DFW,4/12/2025 11:46,34,Delayed,1682,Emergency,Economy,9.1,14,0,0
F586,LAX,SFO,4/6/2024 15:54,171,Delayed,716,Business,Economy,9,4,0,0
F1882,ATL,ORD,6/16/2023 6:17,201,On-time,1688,Family,Premium Economy,7.2,6,0,0
F1408,SEA,DEN,6/7/2024 9:49,163,On-time,1063,Business,Business,7.8,5,0,0
F416,SFO,JFK,11/19/2023 12:52,177,Cancelled,1191,Emergency,Business,8,6,0,1
F1073,ATL,ORD,11/4/2024 0:51,185,On-time,878,Emergency,Business,6.6,25,0,0
F1958,ORD,DFW,5/9/2023 7:14,183,On-time,808,Leisure,Business,7,16,0,0
F1774,DEN,LAX,1/4/2024 0:15,181,Cancelled,1206,Family,Economy,6.6,1,0,0
F420,JFK,JFK,6/13/2024 1:35,342,On-time,1227,Emergency,Business,8.6,15,0,0
F744,LAX,JFK,10/15/2024 18:08,116,On-time,2045,Emergency,Economy,4.2,12,0,0
F284,ORD,JFK,8/25/2023 17:27,92,On-time,1537,Business,Economy,6.3,2,0,0
F175,JFK,ATL,2/28/2025 5:02,61,On-time,1504,Leisure,Economy,6,9,0,1
F1856,ATL,JFK,9/21/2023 23:49,163,On-time,898,Leisure,Business,7.4,2,0,0
F228,SFO,DFW,3/10/2024 8:11,108,Delayed,1374,Leisure,Economy,8.1,18,0,0
F1550,DEN,JFK,2/27/2025 1:24,254,On-time,1292,Leisure,Business,7,47,0,0
F931,ORD,LAX,3/1/2024 0:12,115,On-time,1069,Emergency,Business,6.6,0,1,0
F1658,DFW,ATL,4/27/2023 21:41,150,On-time,750,Leisure,Economy,6.3,56,0,0
F551,SEA,SFO,3/5/2024 21:33,262,On-time,2087,Business,Business,6.7,17,0,1
F1278,SFO,JFK,4/21/2024 0:34,113,Delayed,893,Family,Business,5.9,6,0,0
F1650,JFK,SFO,3/16/2025 11:09,241,On-time,659,Family,Economy,6.4,5,0,0
F1884,ORD,ORD,1/15/2025 20:23,160,On-time,992,Leisure,First,8.2,11,0,0
F620,LAX,JFK,12/9/2024 23:40,142,On-time,928,Family,Economy,6.4,10,0,0
F1480,DEN,ATL,1/26/2025 22:48,74,On-time,1395,Emergency,Premium Economy,5.2,7,0,0
F729,ATL,DFW,12/3/2024 3:01,162,On-time,1881,Family,Premium Economy,7.1,17,0,1
F1765,ORD,ATL,7/27/2023 6:57,155,On-time,1362,Family,Business,7.3,14,0,0
F1043,ORD,ORD,9/9/2023 8:51,76,On-time,2101,Emergency,Business,8.7,3,0,0
F89,LAX,DFW,1/19/2025 16:04,177,Delayed,571,Business,Premium Economy,7.6,15,0,1
F1140,SEA,JFK,7/8/2024 6:03,250,On-time,1537,Family,Economy,6.6,31,0,0
F434,SFO,JFK,11/26/2024 6:59,140,On-time,892,Emergency,First,7.6,8,0,1
F1773,ORD,ORD,9/24/2023 19:08,168,On-time,1137,Family,Economy,7.6,7,0,1
F1443,LAX,ATL,2/14/2024 20:17,118,On-time,940,Family,Economy,8.5,8,0,0
F1522,ATL,LAX,7/31/2024 18:09,59,On-time,1020,Business,Economy,5.3,24,0,0
F923,SFO,LAX,9/27/2023 3:56,118,On-time,1179,Business,Economy,6.2,8,0,0
F1088,ORD,LAX,10/7/2024 2:05,101,On-time,1046,Business,Economy,7,2,0,0
F1848,SEA,DFW,11/25/2024 14:38,255,On-time,796,Emergency,Business,7.4,8,0,0
F501,ATL,SFO,7/10/2024 14:10,296,On-time,1285,Family,Economy,6.2,10,0,0
F1823,ATL,ATL,7/23/2024 9:59,182,On-time,866,Family,First,9.1,4,0,0
F1175,JFK,SEA,5/30/2024 13:35,266,On-time,1115,Emergency,Economy,4.9,3,0,0
F96,DEN,LAX,4/17/2024 18:12,248,On-time,1192,Business,Economy,6.8,9,0,0
F136,DEN,JFK,4/26/2024 15:14,112,Cancelled,1024,Family,Economy,6.2,18,0,0
F1947,ATL,LAX,5/9/2024 17:03,212,On-time,898,Family,Economy,8.9,4,0,0
F1186,DEN,ATL,11/2/2024 1:50,158,On-time,1534,Family,Premium Economy,7.8,18,0,1
F1294,ORD,SEA,11/21/2024 3:44,107,Delayed,390,Leisure,Economy,8.2,32,0,0
F545,JFK,LAX,3/8/2025 15:43,226,On-time,806,Leisure,Economy,5.1,27,0,0
F1962,DFW,ATL,11/21/2023 20:57,108,On-time,1068,Leisure,Economy,8.4,7,0,1
F1795,DFW,SEA,6/8/2023 10:55,179,On-time,1277,Family,Premium Economy,6.2,7,0,0
F1872,JFK,DFW,8/24/2023 15:25,143,On-time,1505,Business,Premium Economy,4.8,11,0,0
F564,SEA,JFK,9/5/2023 22:11,190,On-time,1030,Family,Business,6.6,7,0,0
F1238,DEN,ATL,6/3/2023 14:45,232,On-time,935,Emergency,First,7.2,1,0,1
F594,DFW,JFK,10/11/2023 14:27,263,On-time,1374,Business,Economy,4.8,16,0,1
F255,DEN,JFK,4/6/2025 17:42,37,On-time,1125,Emergency,Economy,7.1,5,0,1
F1260,JFK,SEA,8/25/2023 16:52,200,On-time,1377,Leisure,Premium Economy,4.3,12,0,0
F664,DEN,DFW,5/7/2023 15:54,183,Cancelled,1300,Business,Economy,7.6,13,0,1
F455,DEN,LAX,3/19/2025 12:24,229,On-time,905,Business,Economy,5.7,1,0,0
F1783,JFK,DFW,10/19/2023 0:49,138,On-time,962,Leisure,Economy,7.6,0,0,0
F1032,DEN,ORD,2/16/2025 3:18,249,On-time,1383,Family,Economy,8.2,7,0,0
F1573,ORD,ORD,5/18/2023 7:28,225,On-time,1138,Leisure,Economy,7.7,12,0,0
F1455,ORD,ORD,8/12/2024 3:59,158,On-time,1593,Leisure,Economy,7.4,3,0,0
F1310,LAX,DFW,7/12/2024 11:55,224,On-time,1565,Leisure,Economy,6.4,13,0,1
F1236,ORD,DFW,1/11/2025 11:30,235,On-time,589,Business,Economy,8.5,0,0,1
F1437,SEA,SEA,4/7/2024 4:03,255,On-time,657,Business,Economy,7.9,12,0,0
F545,ATL,LAX,10/5/2023 11:45,245,On-time,1505,Emergency,Economy,3.5,0,0,0
F1159,DEN,LAX,5/15/2024 15:58,223,On-time,1496,Emergency,Economy,5,14,0,1
F1529,ORD,SEA,7/6/2024 17:01,168,On-time,1611,Business,Premium Economy,6,15,0,1
F1585,JFK,LAX,9/17/2023 20:49,208,On-time,1496,Business,Economy,6,7,0,0
F686,DEN,JFK,7/9/2023 21:29,53,On-time,958,Family,Economy,9.5,18,0,0
F1473,SEA,DFW,12/27/2023 14:08,162,Delayed,1417,Leisure,Premium Economy,7.6,1,0,0
F1505,SEA,SEA,8/26/2023 22:13,126,On-time,956,Leisure,Business,6.2,7,0,0
F1280,SEA,DEN,5/28/2023 2:26,40,On-time,1439,Emergency,Economy,6.4,6,0,0
F590,LAX,DEN,12/16/2024 14:40,244,On-time,1203,Business,Economy,5.1,6,1,0
F1594,DEN,ATL,8/19/2024 1:13,139,On-time,1450,Emergency,Premium Economy,8,5,0,0
F1817,ORD,ORD,8/11/2023 11:22,212,On-time,1173,Business,Economy,6.3,1,0,0
F1328,SFO,SEA,6/20/2024 1:26,99,Cancelled,1088,Family,Business,5.9,2,1,0
F1576,LAX,SFO,8/4/2023 12:59,174,On-time,1397,Business,Economy,5.1,14,0,0
F1523,LAX,ORD,2/2/2025 1:57,135,Delayed,368,Emergency,Economy,6.9,12,0,1
F1741,DFW,ORD,1/17/2024 14:50,211,On-time,834,Family,Economy,8.7,2,0,0
F1272,LAX,LAX,7/22/2024 18:58,126,On-time,468,Business,Premium Economy,3.4,5,0,0
F1310,ATL,SEA,7/29/2023 8:51,134,Delayed,1583,Business,Business,3.2,11,1,0
F934,DEN,DFW,6/27/2024 23:25,173,On-time,1683,Business,Economy,7.7,7,0,0
F532,DFW,LAX,1/2/2025 23:31,146,On-time,1129,Business,Economy,4.5,3,0,0
F1331,SEA,JFK,7/29/2024 10:43,149,On-time,1770,Family,Economy,5.8,19,0,1
F147,DEN,DFW,6/18/2023 10:00,238,On-time,907,Family,Economy,5.2,15,0,0
F864,DEN,SFO,12/20/2024 13:36,185,On-time,1041,Emergency,Economy,6.7,1,0,0
F1835,ORD,LAX,1/25/2025 13:48,159,On-time,1327,Leisure,Economy,7.6,4,0,1
F580,DFW,ATL,11/5/2023 4:23,131,On-time,1367,Leisure,Economy,5.4,6,0,0
F1823,JFK,LAX,6/7/2023 9:11,51,On-time,1481,Business,Economy,8.3,8,0,0
F325,DEN,SEA,9/19/2023 16:32,226,Cancelled,704,Family,Premium Economy,5.6,4,0,0
F1701,JFK,SEA,3/24/2025 9:44,143,Cancelled,1104,Leisure,Economy,5,2,0,0
F1329,LAX,JFK,11/14/2023 8:46,174,Delayed,585,Emergency,Economy,6.3,36,0,0
F1263,SEA,DEN,12/20/2024 21:39,270,On-time,1167,Business,Economy,6.2,21,0,0
F1980,DEN,DEN,2/22/2025 20:21,142,On-time,1008,Family,Premium Economy,6.2,1,0,1
F1334,SEA,JFK,10/19/2024 10:01,121,On-time,1196,Emergency,First,5.7,5,0,0
F669,SFO,SFO,9/9/2023 22:37,167,On-time,1891,Emergency,Premium Economy,7.6,2,0,0
